Date,Team,Start Unit,End Unit,Leader,Source,Extraction_Note
2009-03-06,A,10000.0,10000.0,,Team A Bulgarian Diary (2009),Found 1 units in section
2009-03-06,B,20025.0,20097.0,,Team B Bulgarian Diary (2009),Found 2 units in section
2009-03-07,B,20098.0,20138.0,,Team B Bulgarian Diary (2009),Found 2 units in section
2009-03-08,A,10104.0,10111.0,,Team A Bulgarian Diary (2009),Found 8 units in section
2009-03-08,B,20139.0,20230.0,,Team B Bulgarian Diary (2009),Found 2 units in section
2009-03-09,A,10197.0,10197.0,,Team A Bulgarian Diary (2009),Found 1 units in section
2009-03-09,B,20231.0,20296.0,,Team B Bulgarian Diary (2009),Found 4 units in section
2009-03-11,B,20297.0,20344.0,,Team B Bulgarian Diary (2009),Found 21 units in section
2009-03-12,A,10221.0,10276.0,,Team A Bulgarian Diary (2009),Found 2 units in section
2009-03-12,B,20345.0,20461.0,,Team B Bulgarian Diary (2009),Found 6 units in section
2009-03-15,A,10277.0,10316.0,,Team A Bulgarian Diary (2009),Found 2 units in section
2009-03-16,A,10317.0,10369.0,,Team A Bulgarian Diary (2009),Found 2 units in section
2009-03-16,B,20461.0,20536.0,,Team B Bulgarian Diary (2009),Found 6 units in section
2009-03-16,D,40064.0,40067.0,,Team D Bulgarian Diary (2009),Found 4 units in section
2009-03-19,B,20537.0,20615.0,,Team B Bulgarian Diary (2009),Found 7 units in section
2009-03-19,D,40048.0,40073.0,,Team D Bulgarian Diary (2009),Found 2 units in section
2009-03-19,D,40083.0,40083.0,,Team D Bulgarian Diary (2009),Found 1 units in section
2009-03-20,B,20615.0,20638.0,,Team B Bulgarian Diary (2009),Found 10 units in section
2009-03-20,D,40075.0,40082.0,,Team D Bulgarian Diary (2009),Found 4 units in section
2009-03-20,E,50011.0,50059.0,,Team E Bulgarian Diary (2009),Found 5 units in section
2009-03-23,A,10410.0,10503.0,,Team A Bulgarian Diary (2009),Found 4 units in section
2009-03-23,B,20639.0,20673.0,,Team B Bulgarian Diary (2009),Found 3 units in section
2009-03-23,E,50071.0,50142.0,,Team E Bulgarian Diary (2009),Found 6 units in section
2009-03-24,A,10504.0,10563.0,,Team A Bulgarian Diary (2009),Found 3 units in section
2009-03-24,B,20674.0,20722.0,,Team B Bulgarian Diary (2009),Found 11 units in section
2009-03-24,E,50157.0,50202.0,,Team E Bulgarian Diary (2009),Found 5 units in section
2009-03-25,A,10564.0,10610.0,,Team A Bulgarian Diary (2009),Found 2 units in section
2009-03-25,B,20709.0,20732.0,,Team B Bulgarian Diary (2009),Found 13 units in section
2009-03-25,E,50203.0,50249.0,,Team E Bulgarian Diary (2009),Found 12 units in section
2009-03-26,A,10611.0,10667.0,,Team A Bulgarian Diary (2009),Found 2 units in section
2009-03-26,B,20729.0,20783.0,,Team B Bulgarian Diary (2009),Found 9 units in section
2009-03-26,E,50247.0,50289.0,,Team E Bulgarian Diary (2009),Found 3 units in section
2009-03-27,A,10668.0,10742.0,,Team A Bulgarian Diary (2009),Found 5 units in section
2010-03-17,B,20850.0,20892.0,Adela,Kaz10_SurveySummary-NEW-2025-correction.xlsx,
